id,title,category,subcategory,content_en,content_hi,content_hng,content_bn,tags,favorite,usageCount,createdAt,updatedAt
resp-001,Welcome New Customer,Greetings & First Response,Welcome,"Hi {customer_name}, welcome to {store_name}! We're delighted to have you. Browse our catalogue and use code WELCOME10 for 10% off your first order. Happy shopping!","नमस्ते {customer_name}, {store_name} में आपका स्वागत है! हमें खुशी है कि आप हमारे साथ जुड़े। पहले ऑर्डर पर 10% छूट के लिए WELCOME10 कोड लागू करें।","Hi {customer_name}, {store_name} mein aapka swagat hai! Pehle order par 10% off ke liye WELCOME10 code use karein. Koi help chahiye toh bataiye.","নমস্কার {customer_name}, {store_name}-এ আপনাকে স্বাগতম! প্রথম অর্ডারে ১০% ছাড় পেতে WELCOME10 কোড ব্যবহার করুন।",welcome|new-customer|greeting,true,107,2024-08-06T12:00:00Z,2024-08-06T12:00:00Z
resp-002,Returning Customer Welcome,Greetings & First Response,Welcome,"Hi {customer_name}, welcome back to {store_name}! We've added new products since your last visit. Your wishlist is saved and ready for checkout.","नमस्ते {customer_name}, {store_name} में वापसी पर स्वागत है! पिछली बार के बाद हमने कई नए प्रोडक्ट जोड़े हैं। आपकी विशलिस्ट सेव है।","Hi {customer_name}, wapas swagat hai! Naye products add hue hain. Aapki wishlist save hai, checkout kar sakte ho.","নমস্কার {customer_name}, {store_name}-এ ফিরে আসায় স্বাগতম! আপনার উইশলিস্ট সেভ করা আছে।",welcome|returning|greeting,false,75,2024-07-30T12:00:00Z,2024-07-31T12:00:00Z
resp-003,First-Time Buyer Welcome,Greetings & First Response,Welcome,"Hi {customer_name}, thanks for choosing {store_name} for your first order! We'll make sure your experience is smooth. Track your order anytime from your account dashboard.","नमस्ते {customer_name}, पहला ऑर्डर {store_name} से चुनने के लिए धन्यवाद! ऑर्डर की ट्रैकिंग आप अपने अकाउंट से कभी भी कर सकते हैं।","Hi {customer_name}, pehla order ke liye dhanyawad! Tracking aap apne account dashboard se kabhi bhi kar sakte ho.","নমস্কার {customer_name}, প্রথম অর্ডারের জন্য ধন্যবাদ! অর্ডার ট্র্যাকিং আপনার অ্যাকাউন্ট থেকে করতে পারবেন।",welcome|first-order|greeting,false,40,2024-09-01T12:00:00Z,2024-09-06T12:00:00Z
resp-004,Vendor Partner Welcome,Greetings & First Response,Welcome,"Hi {vendor_name}, welcome to the {store_name} vendor family! Your dashboard is ready. Add your first product to start selling across India. Our team is one message away for any help.","नमस्ते {vendor_name}, {store_name} वेंडर परिवार में आपका स्वागत है! आपका डैशबोर्ड तैयार है। पहला प्रोडक्ट जोड़कर भारत भर में बिक्री शुरू करें।","Hi {vendor_name}, vendor parivar mein swagat hai! Dashboard ready hai. Pehla product add karo aur selling start karo.","নমস্কার {vendor_name}, {store_name} ভেন্ডর পরিবারে স্বাগতম! আপনার ড্যাশবোর্ড প্রস্তুত।",welcome|vendor|partner,false,178,2024-09-09T12:00:00Z,2024-09-14T12:00:00Z
resp-005,App Download Welcome,Greetings & First Response,Welcome,"Hi {customer_name}, thanks for downloading the {store_name} app! Use code APP15 for 15% off your first in-app order. Enjoy a faster shopping experience!","नमस्ते {customer_name}, {store_name} ऐप डाउनलोड करने के लिए धन्यवाद! ऐप में पहले ऑर्डर पर 15% छूट के लिए APP15 कोड लागू करें।","Hi {customer_name}, app ke liye dhanyawad! Pehle in-app order par 15% off ke liye APP15 use karein.","নমস্কার {customer_name}, অ্যাপ ডাউনলোডের জন্য ধন্যবাদ! APP15 কোড দিয়ে ১৫% ছাড় পান।",welcome|app|greeting,false,144,2024-07-20T12:00:00Z,2024-07-20T12:00:00Z
resp-006,WhatsApp Opt-in Welcome,Greetings & First Response,Welcome,"Hi {customer_name}, thanks for opting into WhatsApp updates from {store_name}! You'll now receive order confirmations, offers, and delivery alerts here. Reply STOP to unsubscribe.","नमस्ते {customer_name}, {store_name} से WhatsApp अपडेट के लिए धन्यवाद! अब ऑर्डर, ऑफर और डिलीवरी अलर्ट यहीं मिलेंगे। अनसब्सक्राइब करने के लिए STOP लिखें।","Hi {customer_name}, WhatsApp updates ke liye dhanyawad! Order, offer aur delivery alerts yahin milenge. Unsubscribe karne ke liye STOP type karein.","নমস্কার {customer_name}, WhatsApp আপডেটের জন্য ধন্যবাদ! STOP লিখে আনসাবস্ক্রাইব করুন।",welcome|whatsapp|opt-in,false,113,2024-08-09T12:00:00Z,2024-08-09T12:00:00Z
resp-007,First Reply - General,Greetings & First Response,First Reply,"Hi {customer_name}, thanks for reaching out to {store_name}. I've received your message and will get back with a complete answer within {response_time}. Your ticket reference is #{ticket_id}.","नमस्ते {customer_name}, {store_name} तक पहुँचने के लिए धन्यवाद। आपका संदेश मिल गया है, मैं {response_time} में पूरा उत्तर दूँगा। टिकट संख्या #{ticket_id}।","Hi {customer_name}, message mil gaya hai. {response_time} mein poora jawab dunga. Ticket number #{ticket_id}.","নমস্কার {customer_name}, আপনার বার্তা পেয়েছি। টিকিট নম্বর #{ticket_id}।",first-reply|general|acknowledgment,true,97,2024-09-14T12:00:00Z,2024-09-15T12:00:00Z
resp-008,First Reply - Order Query,Greetings & First Response,First Reply,"Hi {customer_name}, I see you've asked about order #{order_id}. Let me pull up the details and revert in a few minutes. Your patience is appreciated.","नमस्ते {customer_name}, ऑर्डर #{order_id} के बारे में आपने पूछा है। मैं विवरण देखकर कुछ ही मिनटों में जवाब दूँगा।","Hi {customer_name}, order #{order_id} ke baare mein poocha hai. Details check karke few minutes mein reply dunga.","নমস্কার {customer_name}, অর্ডার #{order_id} সম্পর্কে বিস্তারিত জানিয়ে কয়েক মিনিটে উত্তর দিচ্ছি।",first-reply|order|acknowledgment,false,134,2024-09-01T12:00:00Z,2024-09-05T12:00:00Z
resp-009,First Reply - Product Query,Greetings & First Response,First Reply,"Hi {customer_name}, thanks for asking about {product_name}. I'll share the complete details including pricing, availability, and shipping within {response_time}.","नमस्ते {customer_name}, {product_name} के बारे में पूछने के लिए धन्यवाद। मैं कीमत, उपलब्धता और शिपिंग के साथ {response_time} में जवाब दूँगा।","Hi {customer_name}, {product_name} ke liye dhanyawad. Price, stock aur shipping ke saath {response_time} mein reply dunga.","নমস্কার {customer_name}, {product_name} সম্পর্কে মূল্য, স্টক ও শিপিং সহ উত্তর দিচ্ছি।",first-reply|product|acknowledgment,false,148,2024-09-14T12:00:00Z,2024-09-15T12:00:00Z
resp-010,First Reply - Complaint,Greetings & First Response,First Reply,"Hi {customer_name}, I'm sorry to hear about the issue you've raised. I take this seriously and will personally look into it. You'll hear from me within {response_time} with a clear next step.","नमस्ते {customer_name}, आपकी समस्या सुनकर दुख हुआ। मैं इसे गंभीरता से लेता हूँ और {response_time} में समाधान के साथ जवाब दूँगा।","Hi {customer_name}, sun ke dukh hua. Main personally isko dekhunga aur {response_time} mein solution ke saath reply dunga.","নমস্কার {customer_name}, আপনার সমস্যা শুনে আমি {response_time}-এ সমাধান সহ উত্তর দিচ্ছি।",first-reply|complaint|acknowledgment,true,329,2024-08-01T12:00:00Z,2024-08-04T12:00:00Z
